,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
0,48189172.3,7833.030052,-1.411289043,13638.86217,10111.47791,141796.7768,35,82.76038085,162,0.500492403,0.6710937,483.0825422,552.5627133,14423.18168,548871,303285649,2.39E+11,2.1971E+14,265149998,1.41E+11,1.0771E+14,9.64E+16,1.69E+11,8.90E+13,6.70E+16,5.94E+19,1.16342E+14,6.15E+16,4.64E+19,4.12E+22,548871,5.59E-08,71856301385,7.99421E+12,1.89E-07,-5133135314,-2.29E+12,-1.24E+15,40774280317,6.86249E+11,5.62034E+15,7.28E+17,-4.63E+12,-1.92E+14,-7.18E+17,-9.68E+19,0.373865815,0.011806096,0.000807214,0.002472413,-3.05E-07,0.000139161,-3.48E-06,1,1.348849524,10.39652538,14.02334832,B,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,1,
1,800532.1342,1009.588614,-0.12300944,1134.041843,918.8794191,3512.989446,120,190.7171529,231,0.958679424,0.586057572,59.51612196,48.29227901,1159.951504,9118,440329,26788121,1844743519,542668,25857544,1560117916,1.07E+11,40601872,1885564266,1.11E+11,7.44E+12,3415974004,1.54E+11,8.77E+12,5.72968E+14,9118,-1.02E-11,5523630.076,17586735.97,1.80E-10,-349130.465,-486548.7696,-200638075.1,8304377.13,-33634882.22,3778619859,-23184355142,11019394.29,-1109206815,11930884594,-8.84E+11,0.166326107,0.001189269,0.000225251,5.85E-06,1.41E-11,-3.28E-08,2.12E-10,5,1.234157409,3.097759987,3.82312344,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,5,
2,170501.5798,465.9284858,-1.31313915,494.2479439,443.9034777,1587.639684,112,191.9670443,234,0.961862308,0.439711141,25.29042225,27.14675592,516.7960621,1942,52719,1764617,65601315,49114,1317197,43679973,1612163477,1518766,40745265,1334642605,48539089989,52416298,1412675537,45760484757,1.64E+12,1942,-3.64E-12,333467.1746,-407415.9858,-2.71E-12,-16088.77034,-74420.1879,-5290997.079,276652.2019,329478.6864,32164959.36,70889940.03,12762.56865,-4383480.491,-2357946.212,-1463866516,0.161776847,0.000299745,7.26E-05,3.58E-07,-4.85E-13,-1.73E-09,1.76E-12,6,1.113413093,3.212233259,3.576542567,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,6,
3,254698.8069,569.4669375,0.404172225,652.9052841,510.9876573,2010.897322,105,171.4139952,227,0.944028637,0.622478712,31.75318856,28.9803516,697.1682999,2901,84072,3028414,122762310,92116,2792891,102416267,4191684149,3752560,114598581,4174143433,1.69E+11,172242880,5241542093,1.89E+11,7.55E+12,2901,-9.55E-12,591977.88,686353.2714,-2.19E-11,123336.9317,-894229.062,60577035.19,827583.283,-1984608.91,143475737.4,-762946022.9,530318.6919,65866923.97,-372838026.5,29474907911,0.168678081,0.001642877,0.00026484,8.85E-06,-1.27E-10,-7.68E-08,-4.09E-10,7,1.277732005,3.079921959,3.935314861,I,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,7,
4,198333.1971,502.5193226,-1.482806841,538.1542871,472.2441613,1683.613227,125,192.7215582,235,0.974126779,0.4795298,26.41389996,27.55776892,557.5740515,2259,62253,2180453,85539555,59669,1634970,57252448,2252134062,1935551,52974450,1830632600,71022872454,69953909,1912975680,65006934754,2.48E+12,2259,-5.92E-12,464899.2112,-172034.9925,-9.93E-12,-9374.513944,174861.9779,-397724.9341,359460.0035,130217.7477,47238992.28,3095091.189,-161022.6165,-5495025.742,20548726.36,-428473644.3,0.161541472,0.000440412,1.34E-05,3.30E-08,2.18E-14,6.19E-10,-1.65E-15,8,1.1395679,3.128495428,3.565132965,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,8,
5,875071.7023,1055.545307,0.929364948,1304.496535,866.6178751,3745.631808,121,190.5308518,247,0.959564841,0.747438244,60.00060199,66.3268787,1321.302901,9967,661080,53506456,4829863836,598026,42899009,3623760059,3.35E+11,43625528,3269665747,2.81E+11,2.62E+13,3549643704,2.74E+11,2.37E+13,2.22073E+15,9967,1.17E-10,9659083.029,-366037.6192,-3.30E-10,3233811.039,-15636696.17,5845349627,7743607.996,-11940574.94,6492738867,-4456094836,2843479.356,5406646550,-18096999384,8.30219E+12,0.175181198,0.004610476,3.79E-05,3.20E-06,3.44E-11,2.06E-07,7.86E-12,9,1.505273054,2.871323692,4.322126182,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,9,
6,126164.1453,400.7956823,1.275124475,494.495633,327.3887043,1361.427873,91,189.0487126,241,0.971602434,0.74944561,17.81280445,25.76409186,503.7192085,1437,37023,1192075,42752031,25597,698645,23344587,858614903,577527,16429439,557582033,20636038913,14636569,430070177,14731762395,5.46E+11,1437,8.88E-13,238211.0271,-235280.3713,2.73E-12,39161.54071,92465.06653,11949566.61,121572.6444,154826.588,15481091.08,28399716.08,18093.99909,7421180.633,24958674.69,1799429213,0.174231996,0.00462912,9.09E-05,3.05E-06,-3.98E-11,-1.63E-07,-3.16E-11,10,1.510423623,2.753164603,4.158444855,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,10,
7,95171.8396,348.1042225,1.357237835,364.3815689,336.0470874,1162.108503,98,180.3164207,227,0.965271594,0.386618994,18.23431734,20.82656827,398.9683944,1084,22576,571950,16128244,19766,414830,10518214,296234144,448250,9465058,236776406,6547332100,11424656,242232392,5959063288,1.61E+11,1084,1.83E-12,101769.3948,-22526.21729,4.50E-12,3172.051661,-43029.70533,707514.3601,87830.48339,13868.38169,4685568.057,2352139.873,48065.43767,373342.9852,-5671696.711,26919706.75,0.161353908,0.000169864,2.37E-05,6.70E-08,-7.97E-14,7.86E-11,-2.80E-14,13,1.084316998,3.189262581,3.458171626,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,13,
8,144952.6819,429.6038719,-0.739371342,438.1928525,427.5316731,1474.590904,89,190.5814658,234,0.954887218,0.219243737,24.45366445,23.6820109,482.3502721,1651,39099,1145693,37588299,40373,950713,27640731,896771125,1208015,28376629,809475467,25604101297,40491191,953975383,26749027077,8.25E+11,1651,-3.63E-12,219750.0557,47738.45216,7.74E-12,-5400.826166,-119856.3316,-4798249.17,220747.2053,32544.58122,17399814.51,-320495.0823,154641.3715,2363839.192,-922517.9848,-236843313.5,0.161602869,1.58E-05,2.18E-05,6.24E-07,-2.23E-12,-1.96E-09,5.63E-13,17,1.024936584,3.365164209,3.449079908,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,17,
9,263.3907,18.31282215,1.570796327,30.60229185,0,9.37,169,169.6666667,170,1,1,0,1,28.11,3,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.049382716,0,0,0,0,0,18,inf,0.306186218,inf,PS,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/4 nM 9.bmp,18,
