,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,2545300.612581999,588.1049094711594,0.8759517577896067,823.6516619358198,475.035701495355,2808.9076349294874,109.0,190.52165481577245,255.0,7.6392042160737805,7.654590327975761,349.273261150614,354.127853910795,852.67,28990.78,1095671.5799999998,51579919.779999994,2717432491.7999997,1080651.47,45437294.47,2237612679.1299996,120497998610.59,48769416.38999999,2163088327.91,108093069946.68999,5838715124976.829,2478516934.5499997,112769765784.18999,5637027760951.689,302329484176561.1,28990.78,1.4207714116309943e-10,10170333.31079509,-719366.727325578,1.6511307876498902e-11,4595374.950614094,-32417985.73664398,3187710682.5110736,8487381.908238525,-22684559.29323449,2536611099.359237,-17344663539.08628,27856932.16047036,2478445048.8622074,-22014685031.746178,1316581450914.7024,1.9490269361173234,0.10167271135831843,0.0075984146314754765,0.0002140056336623666,2.4342617886594874e-09,1.1955496795522919e-05,-2.902267547756812e-08,1,1.7338731790959372,3.4103101647700695,5.91304532709307,,../Images/Training/39.5 hold 1.bmp,1
1,309319.0143279999,205.01638557544524,-0.19239789169965069,270.06967740157035,167.99083953794064,889.9884242568717,133.0,175.8005319148936,203.0,7.544154175588864,7.336664835348646,142.0701329787234,93.30127659574468,311.4732323972639,3523.12,35081.28,424198.63999999996,5747426.819999999,53418.369999999995,510861.76999999996,6003349.63,79525822.97,988769.2499999999,9148821.149999999,103122293.97,1307911215.75,20559888.25,185948821.24999997,2012453546.83,24329492668.37,3523.12,-2.39680275626597e-12,74878.66042553191,32290.869397917475,-5.026628002724464e-12,-21048.80787234043,-9264.660669986435,-1080235.4513363368,178827.42188829783,-58502.16021163432,2028544.2195785015,-2121894.2961972216,145091.01962666976,-1597159.7452317146,944399.9088527489,-45869488.54028403,1.79454845457383,0.06715915589934282,0.0010376577288016369,0.00027174935618275804,1.4690121847051211e-08,2.3006398485739773e-05,-4.62403052062518e-09,2,1.607645262946467,3.29540299681084,5.297839017322538,,../Images/Training/39.5 hold 1.bmp,2
2,1840283.6038609995,500.06636250781736,-0.42106007424452097,540.9624656996646,468.8455400976,1960.946297149231,109.0,202.73446580241395,255.0,8.48610931174089,4.674234157730785,270.7121591417076,251.91770675011173,572.7975342998606,20960.69,563539.9099999999,18612558.63,685024161.9499999,605583.1,15876096.979999999,515989390.05999994,18833351004.98,21681168.04,560288463.78,17854240725.78,640273202495.58,867808809.16,22160095856.78,691819487198.86,24309308823650.18,20960.69,-3.6351508470033874e-11,3461471.9929280286,-1512151.7851054228,1.0765639046894648e-10,-405344.40725972183,42851.44343451915,-82403980.54664455,4185041.1946714344,800009.8920571163,506967386.1135496,-128340195.5737763,-413057.28990153444,-225734195.86805332,2484121.254450107,-47249744248.88741,1.5280285673004774,0.005032239716957592,2.9717585365944854e-05,1.2272983787424448e-06,-3.932600551442204e-15,-2.8248670456794735e-08,7.91019231475918e-13,3,1.1538180902543125,3.624921175654954,4.1824996282166165,,../Images/Training/39.5 hold 1.bmp,3
3,1929953.2117379995,512.1045730855975,0.8578179631766651,987.4660102188501,408.056301906462,3291.3818470579226,124.0,204.72080136402388,255.0,5.9459074925615365,8.532547436870829,351.91419437340153,390.30882779198635,891.3820421121349,21982.019999999997,915664.5099999999,47987339.97,2832096508.1499996,825590.7,40650330.129999995,2256867185.83,135047448394.56999,39026106.22,2032017319.7499998,114691234635.20999,6854012086989.069,2027595101.3999999,108150759537.48999,6137188404858.189,365091682141334.6,21982.019999999997,5.672433189829462e-11,9845190.391683716,12970376.359153561,-1.5559244559426587e-10,6260219.313248083,-66960328.51517676,4461286897.575295,8018946.553759591,-63858223.948907554,4261872486.7078066,-74990493650.58191,-40473517.8445503,4394623070.308147,-73113051469.37665,3461885813113.502,3.2458318971115707,0.5640665563603443,0.1014774056829206,0.021223247599980292,6.461660135813379e-05,0.003510716135433972,8.290816665806825e-05,4,2.419925891611901,3.333159635872895,8.065999303724514,,../Images/Training/39.5 hold 1.bmp,4
4,551180.1585099999,273.67306213812174,0.21965256515251114,495.7485005475491,219.6299227800651,1728.5797620371284,114.0,156.62537313432836,216.0,6.059749034749035,8.400282935092127,193.49749253731343,139.13750746268656,513.6435383609921,6277.9,93222.12999999999,1641764.5499999998,31519864.81,129643.31999999999,2112831.9299999997,38541480.449999996,743435992.3499999,3733663.9,65685639.589999996,1240485632.75,24329225173.609997,129726075.83999999,2401532733.45,46549397628.689995,927723773863.71,6277.9,-4.227693750635808e-12,257485.4882537313,-506048.2545115619,-9.320899607700994e-12,187725.37674626865,-937346.2071600804,10103410.571413824,1056432.5932537313,2490178.7445929144,41902576.755034134,92997655.72952597,8990887.122213047,80756838.17271657,167781570.236351,3680286213.264014,2.926972781259663,0.4127191177265086,0.16041436546458943,0.05438153301143174,0.0005374752342151108,0.01140228945642771,-7.04659241244991e-05,5,2.257199266258387,3.48680784738215,7.870420114694975,,../Images/Training/39.5 hold 1.bmp,5
5,2436709.8947859993,575.4229475142955,-1.316644816262049,626.4489237067902,540.9110603031171,2209.7792890230257,107.0,205.14719783929777,255.0,8.68124491710979,4.726454958016763,299.0143517893315,321.62635719108704,675.6803090219515,27753.94,952657.2699999999,40328845.43,1897534975.6899998,885680.5099999999,29921005.49,1268111616.03,59847889240.13,34169101.129999995,1145853973.6499999,48257598908.10999,2258300425049.73,1460093939.57,48893098694.03,2044930271214.45,94692882773015.98,27753.94,5.5126463394117306e-11,7628772.068024981,-10474414.441622531,-1.4097860656647753e-10,-480082.67077312636,14099973.173976714,-461056271.84617716,5905367.555817015,3636224.693466056,1184143854.858694,-2645010389.090686,-7209254.578539362,-106211686.2731368,4348315126.7007885,-112374787024.56853,1.542625635251333,0.005396318243071691,0.0013614086225484945,4.411471842062469e-05,4.131599738724326e-10,5.081601372721047e-07,-1.0772880476617479e-09,6,1.158136650701391,3.5274692084191597,4.085291374490852,,../Images/Training/39.5 hold 1.bmp,6
6,2853796.969956999,622.7257152338541,-0.9967526275848771,921.7187673413769,536.348745097194,3287.833618677077,114.0,188.21130008648026,255.0,7.002268418785006,7.620245116454071,396.9595503026809,377.60640818679735,1048.4355907732242,32504.53,1309916.63,68613108.69,4161014223.8299994,1377052.68,49565894.49999999,2250444378.7799997,116077265208.81999,68829152.78,2406004669.02,104037906101.7,5044974105344.46,3751714923.8999996,130096539422.73999,5494989588364.14,258451958486065.03,32504.53,1.4567234529749838e-10,15824110.431893919,120531776.35522752,1.4474025533672828e-10,-5928653.672764484,-178502636.47498843,-9737875240.141697,10490389.429316802,134557735.38987592,8621882697.116419,293362909091.87506,-53078040.45288279,-6275285348.304984,-235566812965.1256,-11595436493779.535,2.186686483462155,0.12457869734484198,0.06647450127768342,0.025216837093011188,0.00010952112500584308,0.0027543493541840624,-1.208037514088864e-05,7,1.718506430315873,3.567068107076269,6.130029479385237,,../Images/Training/39.5 hold 1.bmp,7
7,1456925.4637629995,444.942541131679,-1.3650931090327307,488.98491459919614,425.4836826851399,1963.8286201328974,90.0,196.9322416713721,255.0,7.91711354961832,4.617635021834279,221.0812083568605,244.89508187464708,595.2716089315867,16594.269999999997,433709.18999999994,14131393.61,517444691.60999995,391534.81999999995,10096025.08,320738454.46,11394197277.039999,11405295.18,292307063.46,9067049347.4,313372508054.81995,373379358.08,9531848665.9,289103503187.19995,9735613352928.34,16594.269999999997,1.2782948033418506e-11,2795934.95526821,1955872.5388146383,1.1291604096186346e-10,-137160.81121400333,-5516140.938156308,-101100137.1360124,2167195.807600225,689844.5543629001,282217598.36668104,1519813986.460259,2008069.3028988938,-46580384.24058111,-1582370028.8612993,-29536133333.20376,1.5824084568682895,0.0051051209264839125,0.0021094812006500316,0.00011826836083679271,2.3023690664888065e-09,3.6594517991163763e-07,-5.869062995159578e-09,8,1.149244811254131,4.016133343791554,4.615520406657147,,../Images/Training/39.5 hold 1.bmp,8
8,652366.9637289997,297.73592761578294,-0.8166099117841987,371.10615867217894,248.92725733689684,1173.0861404484103,112.0,170.046658259773,213.0,8.424501133786848,6.9493963993303245,142.61778058007565,147.11963430012608,406.81341730577174,7430.409999999999,116665.87,2372399.67,55018025.769999996,113095.9,1575771.64,29584369.499999996,648653860.42,2237012.54,28361322.139999997,495214582.11999995,10287218768.119999,50449560.45999999,589071904.42,9582746787.0,188197099490.91998,7430.409999999999,1.1517968800944798e-11,540613.1033291299,792179.8806280047,-2.9094522346895243e-11,-199962.34600252213,-245897.43158284648,-29287815.689389873,515615.92839848663,-675187.4476911939,38327720.56411227,-14534374.980359562,704655.2023209692,-33237705.873051375,36151146.570226565,-4570100653.218585,1.6796226625590824,0.04333287562504545,0.0034100741393223544,7.628256954490646e-05,-1.1314645981963374e-09,-2.7635583557029958e-06,-3.995086177617576e-09,9,1.4908217068809215,3.161052742012482,4.712566044387665,,../Images/Training/39.5 hold 1.bmp,9
9,601362.2326429999,285.8599666342787,0.37516133511798627,334.5510750867524,265.31175939466965,1277.820903941359,147.0,217.3310533515732,255.0,7.6530391061452505,5.707941615378717,166.69883720930233,149.66363885088919,384.16999999999996,6849.469999999999,109404.12,2117882.36,45585199.919999994,121856.84999999999,2015421.41,39600290.449999996,856098304.9699999,2686463.3299999996,44985210.70999999,878183563.6299999,18721179933.35,66692015.06999999,1124871901.31,21715331875.19,454056908083.42993,6849.469999999999,-1.5978685041773133e-12,370409.7127770178,-75815.19371945148,-1.6478018949328542e-11,69045.78674418601,-284001.3473327405,5868580.9702507155,518544.95209302305,-381446.95661597716,19370166.525877085,-61180533.300083175,447405.20599242643,14422138.622746797,-54105311.092322,801316670.3414555,1.6635844772916453,0.015329075129044977,0.0014470795888716357,0.00012055853917028587,-5.3160860593597095e-09,-4.866299372839587e-06,7.873325429757178e-10,10,1.2609734142582216,3.819509184389879,4.8162995370307415,,../Images/Training/39.5 hold 1.bmp,10
