,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,10055335.936518995,1168.9166805096047,1.031565125407058,1308.4913055114255,1076.6936760254014,6107.614441356385,53.0,128.11461997872863,205.0,8.123812597531565,5.324566774747355,561.9608246747933,655.8846682483841,1438.5315196407757,114529.51,8016878.299999999,688875409.9799999,65954405933.95999,6868847.159999999,500669449.42999995,43679059423.869995,4210463069067.7095,518355652.37999994,38674682374.189995,3380315753734.3496,324456478331690.1,44129962591.979996,3340397235971.15,291155057363073.9,2.772789497549218e+16,114529.51,-8.266306394943966e-10,127707046.67336495,-144314196.23036677,3.3438061564083906e-09,19861387.44649348,-416410429.18647873,50377641765.218094,106400154.55729856,8282327.961056618,96404458617.36176,-209160937608.11136,279268132.2793297,35561365486.36389,-664460867206.715,77939540937187.47,1.5669644708774655,0.009715110648575952,0.0009251004725891004,1.4595795830899793e-05,1.1140445994468221e-10,4.123440842942692e-07,1.4266308325697943e-10,1,1.215286515234028,4.667676747740572,5.67256460900054,,../Images/Additional/Images for model (from Alexa)/3.tif,1
1,1835347.6621429995,499.3952823184144,1.412601684744443,651.8657611521928,484.75367534341206,3246.9196415998717,68.0,123.54683998207082,181.0,6.3136424041075205,6.2645934116197415,283.1957552666965,360.9906947557149,696.4753208118719,20904.469999999998,805370.24,37281206.08,1874694766.7599998,631809.73,24780970.18,1164550768.58,59050190622.03999,22662647.43,914621460.3399999,43519689169.82,2213202211942.96,908742619.27,37794306118.119995,1816615095064.16,92549544473939.61,20904.469999999998,-1.2383480907374178e-11,6253333.88435679,-43443885.43391734,-5.442739592353973e-11,439728.62331689824,3893864.0389923416,-18034099.3238537,3567040.8481219173,14934864.828287635,735746404.064149,739262030.2372829,8176214.853372629,224690887.26744476,3264379881.556046,95334704458.29318,1.9730083336287458,0.03441818763621414,0.015061274339158038,0.0018506849783135441,4.147125902962368e-07,4.9132544278262606e-05,-9.567602642098386e-07,2,1.3447360882625474,4.98096362027182,6.698081534502384,,../Images/Additional/Images for model (from Alexa)/3.tif,2
2,8786798.914992997,1092.69915627609,0.8385732264968175,1479.3630335337484,907.1245294666168,6461.790976468489,67.0,127.81462409886714,198.0,7.455931609923265,7.401725155871539,560.8823574571669,672.6477455294448,1578.2818654473601,100080.96999999999,7184550.569999999,628196686.1099999,60276377541.09,5990784.46,478435151.54999995,44539262491.59,4447415574362.43,460713455.03999996,39527500120.35,3803003797715.4697,386576135258588.2,40688815249.899994,3661189968367.4697,359158745502706.2,3.686549748064756e+16,100080.96999999999,-1.1776290875786799e-09,112436628.10009739,-963278112.4730759,-4.96251352899435e-09,48372434.263785265,-9260022.686367556,93451907939.56631,102108832.74090062,663000995.5512136,100337909328.29156,481643671848.75006,886452984.7021853,101209738997.28992,1156247841711.883,182026570366215.75,1.8805959670368688,0.07762291289684234,0.00733306284385104,0.0006599550204084486,-9.852409856055453e-08,-4.1641237366286216e-05,1.1958523764513977e-07,3,1.6308268440316613,4.3679548765209,7.123378066149286,,../Images/Additional/Images for model (from Alexa)/3.tif,3
3,687741.2127079999,305.70165430954506,0.9895381206153968,439.86098013362954,265.4268923691648,1751.2580687683846,66.0,116.69138755980862,166.0,6.566068734283319,7.4717621855467495,161.58766746411482,205.9606698564593,476.02919962960254,7833.32,172183.12,4656796.3,140802071.73999998,135087.28999999998,3284156.8899999997,95264349.61,3037706934.49,2929296.2499999995,76200897.21,2308332604.21,75838818006.32999,71925553.61,1964328327.31,61373861635.149994,2057859381253.2698,7833.32,4.2609826778061684e-12,872063.030717703,104285.47954900409,3.1957370083546265e-12,314821.9126794258,1116781.1986432313,79575029.80436148,599686.8481698562,954099.4585663107,75856002.90696356,187275980.7724746,725751.4372970798,53100058.57055742,376652377.9880559,12866563562.692019,2.1058210075426946,0.10283104664417506,0.003788356237460653,0.0011800404506648427,1.9167646553038934e-07,7.32803582664533e-05,1.8483170036787127e-07,4,1.657183174649296,3.981389911504206,6.597892373063219,,../Images/Additional/Images for model (from Alexa)/3.tif,4
4,6967904.391909997,973.0526850198263,1.2049423045825036,1584.18719767228,798.152131135729,7476.253022314077,64.0,120.80295159386068,189.0,6.416355404640633,8.093863247559309,559.3414309327036,681.4202514757969,1572.6533861598366,79363.9,5771629.529999999,547980809.49,59904135026.369995,4737621.92,379880339.03999996,37748623226.579994,4208526111297.4795,332343161.97999996,28084182801.519997,2847448278951.0996,319857981835354.0,25433502096.019997,2215984129805.46,227158098213185.62,2.5615579052549516e+16,79363.9,-5.070569386589341e-10,128247058.60870478,1399811988.7033596,1.3176423152572169e-09,35343357.169813424,-103642383.35642041,94401345510.75403,49531185.037530124,-304650598.6220799,75720542077.65448,133296402242.4058,-319218033.3249016,43089805991.69907,-373245451500.55725,102546598368692.08,2.4780598465622106,0.23209486095724494,0.013106507248398165,0.0033740558221924777,1.0668710085324133e-06,5.413713240569005e-05,-2.143799722328009e-06,5,1.9848186027118215,4.71929897760775,9.366952402514741,,../Images/Additional/Images for model (from Alexa)/3.tif,5
5,274767.42230199993,193.22703223162893,-0.13909171458103936,235.3313257226621,178.76559938871904,862.2113769554616,97.0,135.75149700598803,179.0,7.211013824884792,6.093790737720455,111.82281437125748,94.68188622754491,257.80274106378306,3129.58,31623.749999999996,391750.32999999996,5490079.77,37348.82,370236.81,4443525.7299999995,59796069.87,568103.1,5587902.569999999,65295116.73,845734016.79,9842454.139999999,97573323.74999999,1128090683.7099998,14299796581.529999,3129.58,-1.3648460139847883e-12,72198.96398203593,72413.98967442341,-7.22369719596827e-12,-7165.188502994005,-86868.85977482173,-895047.3025073368,122377.36191616766,18360.41504750968,2163711.286730986,2941317.7934885323,141701.78731829728,521514.3001668547,-1910081.3785573584,-9954127.940587668,1.7442031436964716,0.023353881694269888,0.004163432988778351,0.00028876926350530154,-3.378739216713497e-08,-9.954665122594711e-06,-5.521057905063836e-10,6,1.3164240017507116,3.663818976533441,4.8231392387783485,,../Images/Additional/Images for model (from Alexa)/3.tif,6
6,8985059.240665996,1104.9579127767274,0.6590009081723565,1443.2806575625918,1070.4571586770905,7578.04833717154,63.0,137.42318256729536,220.0,6.7841657275439164,6.284929751270144,684.5830781908074,694.6591311115179,1516.2327745105629,102339.13999999998,7587067.029999999,671558047.7099999,64072418318.17,7477016.379999999,587372757.99,53643903360.729996,5216955958016.189,672435313.9599999,55914795684.369995,5226561915267.67,513909557336341.2,69096970092.87999,5995043372639.7295,568459170466468.0,5.62046206754156e+16,102339.13999999998,-1.1637808938758097e-10,109079350.72551271,-1888079430.769418,1.2379486236113735e-09,33052832.500417504,-321750779.73426026,62313955530.94953,126155816.72376855,1233029349.6553364,96516776896.8533,408058133741.7652,1533884521.5027802,72873812103.54305,785376071411.5618,118180336548503.31,1.9719591064189481,0.03496096653952665,0.02572420503631409,0.0013035504736548127,-7.050276518808094e-07,-5.3578863250897415e-05,3.89792842065664e-07,7,1.3482843716475772,5.250571534693277,7.07926354244458,,../Images/Additional/Images for model (from Alexa)/3.tif,7
7,8276751.604132997,1060.5111151872386,0.8861027841707714,1561.6509331945545,884.7438600875579,7192.213573678591,64.0,131.28267567836198,199.0,6.7486269596964705,7.72117549688563,694.003052380479,682.9138375906966,1571.95539074746,94271.56999999999,6870796.119999999,619977144.0799999,62022639507.52,6982364.709999999,563338305.0799999,54123418704.619995,5630489761361.119,614140205.65,53518665655.439995,5343359421877.14,567195387141593.6,60484194864.78999,5575230851200.1,570668696557826.6,6.128710295359053e+16,94271.56999999999,1.2037276064802425e-09,119212816.90684423,-540341842.5219749,2.2109173869466756e-09,54442522.84265179,268014776.88882878,110503895542.40344,96980929.06795746,693543059.5627491,110743249426.54611,568523621845.2301,630907895.4848198,116865722285.69275,1821284031943.6453,214872019012274.2,2.135801211800954,0.12863825962755196,0.007142826481657651,0.000860862789390681,9.713227366639422e-08,1.3695869350127127e-05,2.0607851201598728e-07,8,1.7650881838727956,4.60551933905358,8.129147765961122,,../Images/Additional/Images for model (from Alexa)/3.tif,8
8,6509684.469088998,940.5139316818013,0.7172409046825096,1583.7657299824791,984.7810161047228,7451.691250694924,62.0,132.28067736635916,199.0,5.469923275544079,7.338381002991366,524.9580096044483,770.8385087830153,1711.2503623374341,74144.81,6099645.119999999,588069595.52,60171718698.299995,4153992.7299999995,381961106.83,38107860771.61,3936650576185.7495,330036558.45,32362980642.649998,3307318734177.7896,345341675074477.0,31736951509.269997,3208973607425.71,332217308525394.25,3.4937053171175684e+16,74144.81,-4.6351502192010226e-10,86272226.42646785,-2401450864.9023485,5.583218865012895e-10,40226041.569734626,-1457497624.2051377,108490618693.38461,97307449.01006949,704618423.556741,108671296655.91391,-2196991863916.6274,2343143150.1836557,100861342841.23576,-688202662773.7488,198888735586388.9,2.9318535049411967,0.17950037378854605,0.22527587966522866,0.012602700587131139,-5.3898206585410485e-05,-0.0015532885313442716,-4.723345557508266e-05,9,1.6082415319570493,4.705046402776603,7.5668510347304485,,../Images/Additional/Images for model (from Alexa)/3.tif,9
9,9723805.184459997,1149.485211964284,1.3703799330375146,1350.918050742186,1189.4199089048798,7831.095462823359,60.0,132.1882402707276,209.0,7.160625848580849,4.442629540071325,562.1135930626057,578.697383248731,1497.2368709392645,110753.4,6840203.069999999,565058665.1899999,52953385333.53,6644182.669999999,416659519.26,35746149038.96,3477807471259.0195,511411011.28999996,32060866478.059998,2803798833609.0,278455968801110.28,44780357932.49,2787637531294.6797,246374447354187.0,2.4781476007197824e+16,110753.4,-7.330221762913425e-10,142603209.74721068,440452614.7855739,-3.4529938375271736e-09,6310413.074774126,1068369353.9769063,30932156872.46404,112821321.47164379,-281348242.5858106,152915390200.98355,65562759956.23873,563935535.3718787,4476461540.1995125,3007566819163.9824,41899028508840.16,1.8282166165555418,0.00572037321135242,0.00398996119281793,0.0012441772927388394,-2.920139719671705e-07,-2.545568907200829e-05,-4.747297331342668e-08,10,1.1357789125843711,5.796869364889309,6.583961983647633,,../Images/Additional/Images for model (from Alexa)/3.tif,10
