,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,0,199737.94749999995,504.29579944833546,-1.093797387237214,621.5763873438245,436.8160436661168,1900.397912067564,106.0,178.39384615384614,219.0,0.9554808903821924,0.7114317373945169,19.942417582417583,28.774945054945054,694.2657855605445,2275.0,65463.0,2442647.0,104715921.0,45369.0,1176322.0,39051730.0,1490650042.0,1280537.0,31500182.0,973708570.0,34463551994.0,41647161.0,992162410.0,29176066846.0,977373723490.0,2275.0,-4.462208380573429e-12,558952.7718681319,2261217.188744166,-1.3315570868144276e-11,-129168.48219780222,-2226924.5242947508,-84546162.98005149,375769.456703297,-195336.19487289077,87682934.19373298,617817518.96902,1122654.5756730814,-40435008.0830889,-461022709.8675759,-23013623892.93154,0.1806008411682509,0.0037441207172901,0.0011322524084757,9.004297419604017e-05,2.7844488990449983e-08,5.507534319230575e-06,-7.160962497034243e-09,1,1.422970599081133,3.057384338855781,4.350568024282885,Crystal,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,1
1,1,331608.8912999999,649.7826973603899,-1.4319558620297477,1316.3830466909792,521.4661508654243,4476.996137536769,91.0,162.86735504368548,229.0,0.5469157254561251,0.91819203262758,24.41673285676463,67.10140323007678,1257.571294082367,3777.0,253442.0,21590290.0,2056549496.0,92222.0,5649832.0,495791270.0,49831176184.0,3058134.0,167019744.0,14729441002.0,1526007921936.0,116662400.0,5610708172.0,489590378642.0,51689256975772.0,3777.0,4.655476004700176e-11,4583976.162562879,-7371724.906678162,1.247713043994736e-11,-538393.6086841407,40880860.03554464,-1340022220.9348888,806374.0624834526,-11893712.835547358,1355257104.053217,-37145382873.272446,2614718.9492459875,-383352338.8527215,22784479917.287148,-1101455043058.8452,0.377853120933836,0.0758177519930553,0.0197851948210767,0.0029441094038424,-1.981488200814806e-06,-0.0003593100689964,-2.2382358610645235e-05,2,2.5243882934804343,3.4009828285092945,8.58540123861684,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,2
2,2,1125292.8672999998,1196.9826139317051,-1.390698427594402,1663.6966139840492,955.404734040203,5584.206649726077,100.0,184.140750565655,224.0,0.8835045150616944,0.8186686328731884,40.495357728017474,81.0573457127253,1662.2971556553898,12817.0,1038912.0,108922672.0,13075503936.0,519029.0,39088283.0,3763379639.0,421269652865.0,29889759.0,2102737627.0,187221455655.0,19638740853613.0,2018031569.0,133407927437.0,11023622500457.0,1083951973484111.0,12817.0,-1.7053025658242404e-13,24711222.850901157,240468988.5228336,2.5001867243190645e-10,-2982830.087930092,-163922349.05217564,-9572019374.39136,8871493.973784827,-78465358.62779614,15474173750.807968,21027790515.48886,89126441.79003513,-5961510309.305569,-59169013882.52601,-13274044981045.85,0.2044292610487129,0.0106159297654656,0.0016302659963784,9.20525309778788e-05,3.2659778186178866e-08,8.301175510096966e-06,-1.4317236334148065e-08,3,1.7413527008063177,3.35650538853571,5.844859723597618,Crystal,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,3
3,3,333628.2199999999,651.7581168989018,1.497345665134318,1179.7007020519686,397.390341079585,2938.308620132897,101.0,165.0663157894737,209.0,0.9387351778656128,0.9415558494829828,16.254736842105263,68.26210526315789,1188.956637939332,3800.0,259396.0,21453624.0,1948712242.0,61768.0,4460674.0,368372806.0,32734085506.0,1449184.0,108666174.0,8972315606.0,784652006106.0,40049518.0,3082396486.0,254484433570.0,21985058304214.0,3800.0,-1.602984411874786e-11,3746706.943157895,-27273505.252308,-7.347011887759436e-12,244260.28210526324,-13697648.60682992,448821912.22092426,445161.4147368423,1801050.0331168966,344898098.9724204,-2039380548.675612,2021450.1465972303,67092521.20684283,-1770464802.2126858,81191003731.2367,0.2902955926519901,0.0534202815446743,0.0036935807905119,0.0009909483442711,1.7694771385866053e-06,0.0001732872255485,6.805420741742597e-07,4,2.968619465805564,2.490723803946213,7.394011168340009,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,4
4,4,2596066.536099999,1818.0799142298872,0.937437772255043,2630.313977543746,1496.3845164142665,8655.978614309617,97.0,177.21654435388413,220.0,0.8499525712150392,0.8224069966685129,84.4133044742805,142.8260678413203,2714.1479131580136,29569.0,4223224.0,714314054.0,131231910328.0,2496017.0,403485774.0,71456376166.0,13346018057592.0,292332943.0,49458443952.0,8848143877948.0,1645441614146202.0,40625515133.0,6992376047676.0,1249597060465204.0,2.301027330036468e+17,29569.0,-7.175913196988404e-10,111127576.46690804,-2534586759.6207366,2.5286226446041837e-09,46989480.62491114,-2263879059.683588,362666172676.95056,81635900.00601989,-227395467.3286918,273968648306.5953,-13938209077261.818,2166413241.1983795,243093504336.76395,-6886656091965.449,1533204663434007.8,0.2204710018522809,0.0126912954249363,0.0037019315780924,0.0003379084478838,1.1519516280466417e-07,1.3929779326317196e-05,-3.599473302840696e-07,5,1.7577794669024476,3.290853749099865,5.784595148746683,Crystal,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,5
5,5,314312.90199999994,632.6101613528411,-1.5655981345234709,1041.4428941490778,414.23772331718345,2637.745589083898,101.0,164.03743016759776,206.0,0.9773409773409774,0.917492248241664,16.910893854748604,57.03463687150838,1115.0693690528851,3580.0,204184.0,14409604.0,1137416710.0,60541.0,3440839.0,231649153.0,17207155435.0,1461169.0,83596475.0,5514068753.0,396623133011.0,40727965.0,2354372551.0,153921039661.0,10869791241295.0,3580.0,-5.161382432561368e-11,2764043.7050279346,277720.37127176754,5.840661287948024e-12,-12094.950837988885,-10650468.474914012,-87208206.65332511,437366.575139665,668304.5366942352,301150251.35084814,728062828.3259764,1225771.681547234,7939657.022760147,-1662579587.5541306,-10486464659.725107,0.2497901345282294,0.0329599904223039,0.001876891494909,0.0001525715350761,-7.663506990413368e-08,-2.708788476148261e-05,-2.8159903697900645e-08,6,2.514118911742958,2.5327798613855794,6.367709748791192,Crystal,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,6
6,6,825027.4692999998,1024.9183379204098,1.4193066180872949,1330.0752484475952,938.6411004123298,6290.743181926538,105.0,181.4655741193998,230.0,0.7621867142509531,0.7085055289385239,48.779078429285946,71.30179844631266,1396.9787017703595,9397.0,670023.0,59472851.0,5974004031.0,458377.0,33569336.0,2989777282.0,297913945808.0,28388215.0,2132171706.0,190660188572.0,18957789659310.0,1995719287.0,152758880276.0,13688552823238.0,1358720412481580.0,9397.0,-3.956301952712238e-11,11699006.09960626,65162446.0978005,-2.3391066861222495e-11,886231.5335745446,-37633385.70963457,1040857883.1098198,6029007.366819199,21581806.853932235,6763845576.412083,146922907805.19284,22789474.653935578,976190046.6446491,-28294523154.195923,588489285256.2397,0.2007620488809858,0.0045258592004786,0.0002512761653291,0.000105698805497,8.432062667462506e-09,5.695314423733317e-06,1.502099770268461e-08,7,1.4170221694567973,4.729614500584696,6.701968600312854,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,7
7,7,807380.2923999998,1013.8976851356938,-1.0224747681680155,1341.7895624701846,838.1463480570432,4760.208105031948,105.0,180.27457590256637,224.0,0.8262353998203055,0.7809063369982076,63.13962592431492,72.38690735102219,1348.8244369820704,9196.0,665670.0,58019006.0,5571806772.0,580632.0,38832952.0,3253802742.0,306327724240.0,43212480.0,2727496910.0,219485964652.0,20032740610526.0,3518538330.0,213175305460.0,16540038673338.0,1459204110864568.0,9196.0,-3.6322944652056315e-11,9833213.383645063,-51601452.24989341,-1.1932854704355123e-10,-3197202.789038712,53375650.8045671,-6806439137.335759,6551592.720313179,3219500.0402621794,5101918800.341782,-81010308399.54607,-37211719.60001787,-3892612242.8585176,34586522848.62323,-6449082500820.257,0.1937507450233937,0.0072233252636255,0.0006492105886668,3.95664265230873e-05,6.0534309735883205e-09,3.0253757225797344e-06,1.8891630270923412e-09,8,1.6009012812388512,3.5476562332684884,5.679447409234521,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,8
8,8,300440.9917999999,618.4928064409584,-0.2626036794820704,1054.286269632445,539.8431425539944,4043.093814553103,104.0,145.7334891876096,207.0,0.6038468325392624,0.8589579854147348,38.179135008766806,35.57276446522501,1106.3347517365617,3422.0,121730.0,5174832.0,245739854.0,130649.0,4146717.0,158779437.0,6897932301.0,7561121.0,214359821.0,7318757797.0,286994574905.0,550442249.0,14135556981.0,432698435697.0,15278836787301.0,3422.0,1.2860823517257813e-12,844559.3816481589,1570150.196358624,-5.154277005203767e-11,-500829.1046171829,-3159421.0239335736,-245754883.95713997,2573055.190239625,-16367711.423068175,646199593.7519977,-4167858394.845959,65291146.53704451,-1380385152.784651,16359038650.28354,-548926879896.73376,0.2918522678306819,0.0291047282796361,0.0173858845127843,0.0086933598366225,0.0001062782632244,0.0014806378076721,1.12868842411021e-05,9,1.9529492671605009,3.8349108121863744,7.48938626028526,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,9
9,9,116769.87699999998,385.5853018856669,-0.4579077319739032,544.1483151244528,290.851964763718,1744.4374390534615,93.0,184.8947368421053,223.0,0.8625162127107653,0.8451630230879404,25.869172932330827,19.400751879699246,584.6309363179474,1330.0,25803.0,619825.0,16713375.0,34406.0,588098.0,12593422.0,305168000.0,1131262.0,18296882.0,367063350.0,8300515760.0,41960456.0,661381286.0,12687275494.0,271622159648.0,1330.0,9.237055564881302e-13,119227.39924812032,62101.58601616877,6.849631972727366e-12,-79404.2691729323,-359933.0639561308,-16583550.218000568,241207.23609022552,457794.1686675338,21745267.170947436,152553238.8723236,215980.2843303744,-28796007.61887073,-210897568.2661807,-6021194906.494993,0.203762018960001,0.0128153212045735,0.0008166375360924,6.992873553310281e-05,3.1777415265141486e-10,-9.063210189908104e-07,1.6707814510484615e-08,10,1.8708772195041123,3.2058124422465397,5.997681468201893,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,10
