,Unnamed: 0.1,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
1192,1,1606649.029,467.2461933,-0.006579767,535.0641426,438.7802711,2039.3974,112,200.546851,255,7.867416165,5.362351821,264.1159754,201.5245673,641.006624,18299.61,393577.48,10972944.64,350522573.6,515818.5,11085890.62,310179870.0,10013637593.0,18269063.8,381788614.5,10411089643.0,331000000000.0,730406304.6,14645167970.0,384000000000.0,11902500000000.0,18299.61,7.29e-11,2508106.714,6636964.061,1.21e-10,-8036.811644,1226748.629,65316338.57,3729479.353,-10678821.7,377295148.0,-1520268397.0,5200140.261,-141809221.1,1023635848.0,-935639514.4,1.635355081,0.010945183,0.005626584,0.000216513,2.52e-08,3.29e-06,3.88e-09,2,1.21943528,3.811500785,4.647878527,C,../Images/Training/39.5 hold 1.bmp,2,1.0
1195,4,935360.9556,356.5125993,1.172631812,368.4199938,349.6942644,1331.434408,123,208.5672823,255,8.557180723,2.949256514,187.6554705,185.2985488,400.615443,10653.69,210684.45,5180513.71,142798603.2,213364.27,4255882.11,105299844.5,2916581750.0,5215857.35,104463309.6,2558405049.0,69967734003.0,142258254.1,2853120783.0,68831113724.0,1849340000000.0,10653.69,3.36e-11,1014075.84,242014.5829,-9.42e-12,36448.85499,106719.8645,7621751.26,942754.6304,-143995.7953,55531872.91,3949810.57,37304.99776,4654153.326,9610029.153,1612326291.0,1.513673727,0.000664179,3e-05,1.7e-06,-1.06e-12,5.86e-09,7.55e-13,5,1.053548861,3.613903779,3.807424209,C,../Images/Training/39.5 hold 1.bmp,5,4.0
1196,5,623573.9704,291.0913184,-1.380146518,313.4667016,280.4654693,1064.803149,121,199.6490765,253,8.485615293,4.184867193,160.921715,162.1207784,352.2172905,7102.46,122887.55,2619467.83,61680751.67,121978.66,2092049.27,44647084.89,1050439938.0,2496149.26,42968543.09,912811598.0,21254718379.0,56543414.92,985079522.0,20837807032.0,480000000000.0,7102.46,5.86e-12,493253.8218,-710235.5794,-1.63e-11,-18439.02274,298039.185,-7784314.559,401270.3736,413240.783,17450510.54,11373829.7,-108757.2622,1783756.796,15498035.54,-357103058.2,1.55687477,0.00317495,0.00205063,5.29e-05,6.26e-10,7.1e-07,-1.75e-09,6,1.117665937,3.396862069,3.796557028,C,../Images/Training/39.5 hold 1.bmp,6,5.0
1198,7,15822161.18,1466.284238,1.167673597,3284.434721,1109.365045,12837.52026,104,195.2032964,255,5.200057999,8.819331637,980.97172,1601.381865,3411.812449,180213.21,30799377.4,6459009019.0,1500000000000.0,18867029.09,3666882289.0,810000000000.0,192238000000000.0,2321803853.0,483000000000.0,110213000000000.0,2.67e+16,314000000000.0,68373300000000.0,1.6e+16,3.95e+18,180213.21,7.64e-09,1195234803.0,-16302105957.0,-3.27e-09,442408626.0,-17853313568.0,5990000000000.0,346561379.7,-6802082121.0,3695900000000.0,-179000000000000.0,-1568523848.0,2285840000000.0,-111000000000000.0,3.37e+16,4.168049835,1.172395301,0.110302764,0.036944433,0.000226913,0.010845801,0.000108912,8,2.960643781,3.908593518,11.57195309,C,../Images/Training/39.5 hold 1.bmp,8,7.0
1200,9,150546.2224,143.0277132,-1.517109317,241.0096038,112.8574081,684.457204,182,211.4480874,241,6.646162791,8.279198729,69.43016393,91.39590164,238.8890642,1714.71,16725.45,233884.57,3898379.13,12705.72,120966.7,1746474.3,30026296.18,109853.88,979708.46,14077769.1,244058234.9,1042881.0,8493923.74,118918061.9,2056276165.0,1714.71,1.13e-12,70742.88557,236979.9008,-3.99e-13,-2966.142623,71292.07182,-99605.6439,15706.5777,-47859.82965,476478.6546,-1737020.931,-3884.573856,-125965.4882,1323082.786,-8358476.838,2.581428627,0.291589139,0.099967882,0.020961368,8.95e-05,0.002596973,4.98e-05,10,2.135523115,2.839958214,6.064796413,C,../Images/Training/39.5 hold 1.bmp,10,9.0
1201,10,763425.6524,322.0836197,1.274053618,468.9737308,227.9153813,1381.832636,97,203.9989224,255,8.051259259,8.189059058,141.2567888,213.732931,483.713488,8695.36,198344.16,5796787.98,191677030.2,131086.3,3280896.13,100726328.8,3431625464.0,2386632.7,62813209.87,1966568488.0,67630156645.0,48099227.14,1304191794.0,41167710712.0,1418220000000.0,8695.36,-5.19e-12,1272489.296,1398458.228,-1.17e-11,290772.4248,72012.78265,83206706.43,410450.2248,-393744.2682,51411630.05,-49102029.38,-255717.6471,26589086.99,-37845351.4,6658634436.0,1.954215964,0.155602663,0.001066454,0.000161766,5.37e-09,1.2e-05,-4.75e-09,11,2.057665999,2.946503281,6.062919618,C,../Images/Training/39.5 hold 1.bmp,11,10.0
1202,11,1456925.464,444.9425411,-1.365093109,488.9849146,425.4836827,1963.82862,90,196.9322417,255,7.91711355,4.617635022,221.0812084,244.8950819,595.2716089,16594.27,433709.19,14131393.61,517444691.6,391534.82,10096025.08,320738454.5,11394197277.0,11405295.18,292307063.5,9067049347.0,313373000000.0,373379358.1,9531848666.0,289104000000.0,9740000000000.0,16594.27,1.28e-11,2795934.955,1955872.539,1.13e-10,-137160.8112,-5516140.938,-101100137.1,2167195.808,689844.5544,282217598.4,1519813986.0,2008069.303,-46580384.24,-1582370029.0,-29536133333.0,1.582408457,0.005105121,0.002109481,0.000118268,2.3e-09,3.66e-07,-5.87e-09,12,1.149244811,4.016133344,4.615520407,C,../Images/Training/39.5 hold 1.bmp,12,11.0
1204,13,666352.1319,300.9103734,-0.855541732,371.7048409,253.8434547,1182.123188,112,170.0888889,213,8.414301552,6.844749655,142.4934074,144.1476173,406.8134173,7589.7,116759.57,2371387.71,55002490.31,115419.66,1578395.24,29587068.06,648644734.0,2274698.68,28403805.72,495270446.1,10287291779.0,51150923.7,589838557.8,9583691395.0,188000000000.0,7589.7,-1.54e-11,575164.251,824582.0157,1.96e-11,-197215.1097,-407695.9496,-28962325.52,519464.8876,-591785.402,39073148.78,4617189.033,759225.7863,-33239162.23,18711119.28,-4572535450.0,1.668387652,0.039340149,0.003271767,5.44e-05,-2.19e-09,-3.41e-06,-1.1e-09,14,1.464307367,3.180273857,4.656898438,C,../Images/Training/39.5 hold 1.bmp,14,13.0
1207,16,604652.8605,286.6410063,0.370395915,333.8715509,267.2336021,1300.109132,147,217.2598639,255,7.694916201,5.616893792,167.0282177,149.0531156,384.17,6886.95,109554.04,2118575.74,45588835.48,122765.74,2019160.04,39617390.7,856184405.9,2709166.84,45080475.5,878615267.6,18723283545.0,67271596.42,1127337233.0,21726423022.0,454000000000.0,6886.95,1.13e-12,375846.7119,-69922.4279,-2.63e-12,66266.1188,-256277.6912,5449316.987,520763.1319,-378049.7658,19638095.56,-61236691.29,412302.4812,14262279.63,-51651566.33,766769183.5,1.659697059,0.014102975,0.0012576,0.000111957,-4.42e-09,-4.33e-06,7.5e-10,17,1.249362162,3.894039875,4.865066077,C,../Images/Training/39.5 hold 1.bmp,17,16.0
1208,17,2973082.228,635.6070773,-0.663856522,800.0865888,642.3875103,3952.60909,99,209.1662977,255,7.277709005,5.585617471,414.8104704,415.2175235,845.6911655,33863.18,1500596.13,78526231.37,4544328574.0,1499125.04,63770289.78,3323819369.0,195000000000.0,79715799.72,3245416082.0,165239000000.0,9570000000000.0,4686007350.0,183000000000.0,8980000000000.0,507400000000000.0,33863.18,-3.06e-12,12029560.2,-1587723.363,-3.15e-10,-2661192.243,83311827.27,-1913365515.0,13349442.94,-51447966.8,3191835452.0,-40741135923.0,-24977259.56,-2492749926.0,34259211374.0,-1240000000000.0,1.94311392,0.018812189,0.017122466,0.001075995,4.5e-07,4.77e-05,-2.01e-07,18,1.245489017,4.940226652,6.152998038,C,../Images/Training/39.5 hold 1.bmp,18,17.0
