Region,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,RC_Labels
1,0,487009.4042999999,787.4513522832219,-1.0319326500310773,967.493092151298,689.5821673619298,3707.543028137359,82.0,216.2552731206057,255.0,0.8641532949057485,0.7014166219882314,33.12799711555796,49.65945556156481,1179.652857835728,5547.0,275461.0,16896571.0,1169421289.0,183761.0,8324539.0,469678015.0,29912669515.0,8444221.0,363015645.0,19518738609.0,1185986302281.0,440402477.0,18278885419.0,948029189875.0,55562993006023.0,5547.0,-2.12594386539422e-11,3217327.711555796,10805287.244683176,5.3006488087703474e-11,-800932.2134487109,-10523825.027656218,-1334648958.7963254,2356587.122047955,-3253212.387759656,1454753087.8485477,6236389707.799417,4524325.305334754,-630961309.4181023,-8252516531.757799,-993862244691.2208,0.1811523602574167,0.0034928589222372,0.0003286286353566,1.7714221403835847e-05,7.739816100877604e-10,1.0103922937798996e-06,-1.1080031093484438e-09,1,1.4030135028760184,3.832113178083104,5.376506533399726,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,Crystal
2,1,567519.1615999999,850.0516683967305,-1.514230801849469,1399.5382521524402,595.0220884850273,4967.508538870846,94.0,208.1964727722772,255.0,0.7575295909996485,0.9051200879589896,24.96271658415841,69.24396658415841,1332.1556739735786,6464.0,447593.0,39982563.0,4059732983.0,161359.0,10756355.0,930863881.0,92891018099.0,5680737.0,363043433.0,30570176763.0,3016187899853.0,232329031.0,14211504527.0,1166344742101.0,114059307058283.0,6464.0,4.411049303598702e-11,8989448.26469678,46251616.17762168,-6.406253305613063e-11,-416782.204053218,-9490201.456592925,-484457639.343581,1652778.0146967815,-9505297.9271896,2402767253.6418777,-2803245748.1248407,8006744.965050116,-384907446.4670359,10146762940.68174,-545336201780.9523,0.254700497524024,0.0312293454951224,0.0006132649611581,0.0001198472690101,3.070787956167293e-08,2.1168062331616768e-05,1.0616347032170092e-08,2,2.352077812297311,3.549391044675623,8.348443923348308,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,Crystal
3,2,118262.42429999996,388.041744242818,-0.5823358339289603,573.8607003717113,289.5035088600003,1876.5591714974105,111.0,175.79584261321455,254.0,0.8493064312736444,0.8634210741281457,21.02746844840386,22.274684484038605,588.4479361846721,1347.0,30004.0,819902.0,25302790.0,28324.0,522777.0,12380187.0,338806875.0,840154.0,13619393.0,288859999.0,7158095099.0,28640890.0,422826501.0,8227059915.0,187944491595.0,1347.0,-4.547473508864641e-13,151572.36674090568,287278.35086245654,1.1283418643870393e-11,-108131.1633259094,-43101.34382986303,-29414953.96119781,244571.9836674092,-547323.0177534404,33770992.82225959,-47669682.78137168,689118.9333397271,-37181816.18585985,118504769.62045348,-9630785682.376614,0.2183324434613777,0.0168338322133001,0.0009903888271701,0.0001093628176373,3.5983785404734326e-08,1.3073125514611024e-05,-7.744271498728578e-10,3,1.9822236443055408,3.270060435018275,6.481991112601289,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,Crystal
4,3,374717.1691999999,690.7276727601528,1.4438432750698398,1099.4661789636014,469.2099897238552,3257.3358241351284,107.0,186.2066541705717,255.0,0.9078919378855562,0.9043641426848998,20.403467666354263,59.16237113402062,1066.6995003279976,4268.0,252505.0,18563371.0,1503483133.0,87082.0,5529239.0,415775877.0,33845253947.0,2493826.0,167527457.0,12865676863.0,1054946770421.0,82682542.0,5812252733.0,454568284179.0,37541186403941.0,4268.0,9.947598300641404e-12,3624576.4768041214,-23646989.04916838,1.7248424910576432e-11,377261.3969072166,-7620620.533766017,560091038.3630545,717051.2286785374,4591916.217209829,573946508.0247205,1155684783.1776514,2539180.7245621183,168321006.56000388,-161934380.45784456,201846784114.45248,0.2383437447289048,0.0271927847959761,0.0014444896166336,0.0002746215947285,1.6999828902364458e-07,4.367745242521063e-05,3.190002897391824e-08,4,2.34322841167698,2.962652136517393,6.942170660203064,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,Crystal
5,4,261898.15269999995,577.4591628078371,-0.2360834728262856,683.292963468815,529.5725747443882,2530.357005214564,117.0,200.25846463291987,255.0,0.8701866977829639,0.6319243884414003,28.163593697619845,31.6325846463292,735.4703943055763,2983.0,94360.0,3602042.0,154035010.0,84012.0,2567483.0,92654781.0,3745656539.0,3335864.0,98450377.0,3391798343.0,130845812221.0,152386524.0,4362359951.0,144301869957.0,5331883840859.0,2983.0,-7.531752999057062e-13,617191.3127723766,1046398.6468645812,3.5129232855979347e-11,-90033.70130740864,-3095669.0145041286,-28482183.70565643,969784.1662755614,-2000278.1832128624,186073762.79560772,-306999095.572688,3811391.206743231,-74773645.1778999,-1345131510.9632027,-19872270666.064663,0.1783461381225017,0.0019796272587101,0.0009366573833184,6.021122135366696e-06,-2.970881376041409e-10,5.0277092381025294e-08,3.408824695967282e-10,5,1.2902725632999854,3.703180246974763,4.778111869626001,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,Poorly Segmented
7,6,296138.94369999995,614.0487064190755,1.380284636199104,853.8150460873422,458.2704364988655,2494.094564705282,94.0,194.1159205455085,255.0,0.9488045007032349,0.8437523522901499,20.79988141120664,46.71064334420397,896.7829191058446,3373.0,157555.0,9065241.0,576681847.0,70158.0,3508831.0,205554523.0,13120721659.0,2008230.0,104121339.0,6115159323.0,386924588619.0,66067440.0,3503793157.0,205561492501.0,12872303319985.0,3373.0,1.7763568394002505e-12,1705745.5879039431,-6114339.765316186,2.5252688828913957e-11,231705.68425733747,-4647657.920346768,260427988.1874729,548951.9199525645,676722.2071590269,225111283.07387865,-1324048867.5150063,1460224.4826374035,74781293.01928118,-980105426.4516757,67408771899.839874,0.1981780735593758,0.0119973185474372,0.0006953571147207,9.099313308868038e-05,2.0018319570875054e-08,7.753761928909568e-06,1.1097261940846606e-08,7,1.863124867077163,2.921118076021988,5.442407727105165,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,Poorly Segmented
8,7,139597.07099999997,421.5928262273946,-0.2945089736011408,644.3542871639446,306.99277378828907,2060.8010214669744,128.0,203.22012578616352,255.0,0.8108108108108109,0.8792098321140988,27.821383647798744,23.29559748427673,655.9,1590.0,37040.0,1000150.0,29600918.0,44236.0,929597.0,23365933.0,650960303.0,1670044.0,33026229.0,798971781.0,21631308915.0,70720312.0,1338417701.0,31514264677.0,837621958211.0,1590.0,-1.1368683772161605e-13,137281.06918238994,-94262.88366757672,-2.1778134851047067e-11,-100907.05031446544,241756.199556978,-25191572.27821819,439337.27295597485,-263696.28589849995,46836338.58024917,-76048484.78932026,-188564.47607610305,-52729967.48203412,107804350.36024845,-12975628363.480446,0.2280836763333589,0.0206479270230994,0.0001299584501522,1.288744215924953e-05,-1.0938749853450095e-10,-1.1741110169770638e-06,5.159465101299459e-10,8,2.0989233043260804,3.1982421200879507,6.71286491872985,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
9,8,458212.0210999999,763.815203526051,-0.8229790102916953,885.5995858584224,707.3550394694954,4033.447987506334,99.0,185.90956121862425,255.0,0.8353072983354674,0.6016894869646162,49.78750718528454,52.377275340103466,941.346966691878,5219.0,273357.0,16743677.0,1117190541.0,259841.0,13083807.0,780404435.0,51249231483.0,15283605.0,755165271.0,44113662423.0,2845862097303.0,986300681.0,48259502781.0,2771988741341.0,175850508365937.0,5219.0,-3.1803892852622084e-11,2425982.1448553363,-13930308.977283048,-1.0004441719502209e-11,-525956.6016478256,1874843.5373230693,-338803349.3720551,2346769.3454684806,7023819.892995814,735182246.5456531,1469941587.7958896,-8311504.053985639,-538117847.4275377,-765875213.7861453,-237978695847.6767,0.1752242574370312,0.0014999141073704,0.0003665633160755,2.301910046772435e-05,-1.8432688356618846e-09,-8.820732781871986e-07,1.0360774708614901e-09,9,1.2519873846132594,4.554482693887739,5.702154876186863,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
11,10,295524.36539999995,613.4112066632333,-1.495594001141643,930.4952335113028,480.5353973838051,3776.243853728308,99.0,190.20053475935828,255.0,0.7198460222412318,0.8563295740120279,28.858882947118243,56.073380867498514,1053.656395842591,3366.0,188743.0,12649513.0,944621155.0,97139.0,5332935.0,345902331.0,24952062375.0,3365217.0,182261169.0,11375559313.0,783202719753.0,131777333.0,7075336143.0,426192853419.0,27989633419011.0,3366.0,-2.020783540501725e-11,2066054.8749257284,3618830.972901542,3.741007503776928e-12,-113977.1440879382,-6366316.383785078,-162597286.5745721,561893.9693998811,140580.57698052994,163322105.9887471,1872991194.7937307,2229664.9221419725,-41262928.14370132,-836320826.6950574,-41449858751.14907,0.2319469593991017,0.0180299212950171,0.0010764772959799,7.231207302503637e-05,9.555299118533572e-09,5.330478376155755e-07,-1.7768974806899845e-08,11,1.9363718855618737,4.058316171570628,7.85840933735046,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
12,11,355226.25739999994,672.5236934487525,1.000100116789414,848.9815389223764,576.185346939307,3274.582437597641,90.0,191.39841819080573,255.0,0.8617678381256656,0.7344356786765092,29.544735541275333,48.91398912506179,995.206927678862,4046.0,197906.0,11429562.0,721202816.0,119538.0,6356138.0,387302542.0,25369016138.0,4814714.0,272973412.0,17224452808.0,1153608763024.0,223601514.0,13311745106.0,861653056630.0,58635715710482.0,4046.0,1.7053025658242404e-11,1749190.068215521,-8982383.320939695,3.849720542348223e-11,509057.5679683637,-180917.32987987343,433937511.7971749,1282995.4028670287,7386601.321897047,523433532.7521232,4120360482.803322,5540542.406367311,386741617.2332568,3345263960.7883987,305125356197.3411,0.1852268775054831,0.0046790530290675,0.0009286072301597,2.884215257718628e-05,-2.950504764656237e-09,-1.6687982317349828e-06,3.684360961124924e-09,12,1.4734521511735088,3.857071429084444,5.683210194414354,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
